Date,Open,High,Low,Close,Adj Close,Volume
1/3/2000,55.625,55.625,53.5,55.4375,43.764011,938100
1/4/2000,54,54.75,52.3125,52.625,41.543743,545500
1/5/2000,51.75,53.0625,50.125,51.8437,40.926949,1906000
1/6/2000,51.25,52.0937,49.625,50.125,39.570152,1670000
1/7/2000,49.625,51,49.125,51,40.26091,686000
1/10/2000,53,53.4375,52.0625,52.9375,41.790436,1020500
1/11/2000,53,53.4687,51.1875,51.4375,40.606297,1411300
1/12/2000,52.375,52.375,50.625,51.2187,40.433571,1983200
1/13/2000,51.875,52,50.875,51.6875,40.803646,1193000
1/14/2000,53.25,53.7187,52.7812,52.875,41.741081,1383900
1/18/2000,52.75,53.7187,52.609299,53.1562,41.963081,550800
1/19/2000,52.9375,53.4687,52.5625,53.25,42.037117,790400
1/20/2000,54.25,54.4375,53.125,53.5625,42.283821,1095600
1/21/2000,53.875,53.875,53.140598,53.625,42.333172,1434700
1/24/2000,53.9375,54.3437,51.5937,51.875,40.95166,568900
1/25/2000,51.765598,53.0312,51.0625,52.984299,41.827374,2982400
1/26/2000,52.6875,52.75,50.9375,51.25,40.458279,839300
1/27/2000,51.875,52.125,49.7187,50.75,40.063553,1238100
1/28/2000,50.125,51.125,48.125,48.9375,38.63271,2457000
1/31/2000,48.9375,50.5625,47.875,50.5625,39.915535,1312300
2/1/2000,50.515598,51.75,50.0312,51.625,40.754314,474900
2/2/2000,51.4375,52.6562,51.4375,52,41.050343,534700
2/3/2000,52.25,53.5,51.765598,53.5,42.234489,1244600
2/4/2000,53.75,54.625,53.625,54.125,42.727875,691700
2/7/2000,54.25,54.875,53.8125,54.75,43.221264,655300
2/8/2000,55.1875,55.75,55.078098,55.25,43.615993,886000
2/9/2000,55.75,56.125,54.25,54.5625,43.073254,1623300
2/10/2000,54.6875,55.875,54.5,55.859299,44.096977,1157600
2/11/2000,55.859299,55.875,53.875,54.375,42.925243,1002100
2/14/2000,54.75,54.75,53.75,54.4062,42.949871,351500
2/15/2000,54.328098,54.9375,52.9687,54.5625,43.073254,300600
2/16/2000,54.375,55,54.1875,54.2812,42.851189,172100
2/17/2000,54.984299,55.625,54.1875,55.5,43.813351,231200
2/18/2000,55.5625,55.5625,53.5,53.625,42.333172,362700
2/22/2000,53.375,54,52,53.5,42.234489,1233900
2/23/2000,53.625,55.5,53.484299,55.125,43.517307,183300
2/24/2000,55.484299,56.0625,54.5,55.8125,44.060024,319900
2/25/2000,55.875,56.5,54.875,55.2812,43.64061,937200
2/28/2000,54.75,55.625,53.25,54.625,43.122601,1508300
2/29/2000,55.75,56,55.375,55.875,44.109383,474100
3/1/2000,56,57.25,56,56.4375,44.55344,963500
3/2/2000,56.875,57.3125,56.0937,57,44.997471,1097600
3/3/2000,58,58.8125,57.375,58.578098,46.243282,401600
3/6/2000,58.578098,59.4062,58,58.484299,46.169243,667500
3/7/2000,59.1562,59.5,56.875,56.875,44.898819,1304800
3/8/2000,57.5625,58.125,56.5,57.875,45.68824,1089600
3/9/2000,57.9375,59.75,57.375,59.625,47.069725,285900
3/10/2000,60,60.6562,59.5,59.75,47.168427,265000
3/13/2000,58.5,60.25,58,58.875,46.477661,2011200
3/14/2000,59.625,60.125,57.3125,57.5312,45.416847,464200
3/15/2000,58,58.1875,56.25,56.5312,44.627407,619300
3/16/2000,57.25,58.5,55.875,58.5,46.181629,2726600
3/17/2000,58.75,60,58.6875,59.875,47.267105,441000
3/20/2000,60.125,60.625,59.125,59.625,47.069725,395400
3/21/2000,59.4687,61.625,58.640598,61.1875,48.30323,649200
3/22/2000,61.5625,62.75,61.25,62.25,49.141987,668500
3/23/2000,62.3125,64,62.125,63.4375,50.079449,484100
3/24/2000,64.0625,65.4375,63,63.984299,50.511089,1103100
3/27/2000,64.25,64.9375,64.0625,64.5,50.918213,783100
3/28/2000,64.5,64.5,62.9375,62.9375,49.684727,625600
3/29/2000,63,63.0625,60.7812,61.0937,48.229183,3331900
3/30/2000,60.6875,61.8437,57.75,59.4375,46.921719,4635800
3/31/2000,60.25,61.1875,58.625,60.5625,47.809822,319600
4/3/2000,59.8125,59.8125,57.25,58,45.786911,2645000
4/4/2000,57.7187,58.75,52.2812,57.4375,45.342873,2211500
4/5/2000,56.625,59.1875,56.125,57.8125,45.638889,600200
4/6/2000,58.75,59.4375,57.75,58.5625,46.23098,173000
4/7/2000,59.3125,60.625,58.875,60.5625,47.809822,233000
